u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
12000,119,100,0,100,1,57,162000,Killed
12001,119,100,0,100,2,49,162000,Killed
12002,119,100,0,100,8,314,162000,Killed
12003,119,100,0,100,1,57,162000,Killed
12004,119,100,0,100,1,57,162000,Killed
12005,119,100,0,100,1,66,162000,Killed
12006,119,100,0,100,1,67,162000,Killed
12007,119,100,0,100,2,62,162000,Killed
12008,119,100,0,100,1,63,162000,Killed
12009,119,100,0,100,1,60,162000,Killed
12010,119,100,0,100,1,61,162000,Killed
12011,119,100,0,100,1,68,162000,Killed
12012,119,100,0,100,2,62,162000,Killed
12013,119,100,0,100,1,65,162000,Killed
12014,119,100,0,100,1,63,162000,Killed
12015,119,100,0,100,1,66,162000,Killed
12016,119,100,0,100,1,64,162000,Killed
12017,119,100,0,100,2,63,162000,Killed
12018,119,100,0,100,1,61,162000,Killed
12019,119,100,0,100,1,62,162000,Killed
12020,119,100,0,100,2,57,162000,Killed
12021,119,100,0,100,1,69,162000,Killed
12022,119,100,0,100,2,64,162000,Killed
12023,119,100,0,100,7,218,162000,Killed
12024,119,100,0,100,1,56,162000,Killed
12025,119,100,0,100,2,63,162000,Killed
12026,119,100,0,100,1,59,162000,Killed
12027,119,100,0,100,1,57,162000,Killed
12028,119,100,0,100,1,56,162000,Killed
12029,119,100,0,100,2,60,162000,Killed
12030,119,100,0,100,1,59,162000,Killed
12031,119,100,0,100,1,58,162000,Killed
12032,119,100,0,100,1,59,162000,Killed
12033,119,100,0,100,1,65,162000,Killed
12034,119,100,0,100,1,58,162000,Killed
12035,119,100,0,100,2,57,162000,Killed
12036,119,100,0,100,1,59,162000,Killed
12037,119,100,0,100,1,58,162000,Killed
12038,119,100,0,100,1,56,162000,Killed
12039,119,100,0,100,1,57,162000,Killed
12040,119,100,0,100,2,58,162000,Killed
12041,119,100,0,100,1,55,162000,Killed
12042,119,100,0,100,1,60,162000,Killed
12043,119,100,0,100,2,57,162000,Killed
12044,119,100,0,100,6,231,162000,Killed
12045,119,100,0,100,1,59,162000,Killed
12046,119,100,0,100,1,55,162000,Killed
12047,119,100,0,100,2,55,162000,Killed
12048,119,100,0,100,1,59,162000,Killed
12049,119,100,0,100,1,61,162000,Killed
12050,119,100,0,100,1,61,162000,Killed
12051,119,100,0,100,1,60,162000,Killed
12052,119,100,0,100,2,58,162000,Killed
12053,119,100,0,100,1,56,162000,Killed
12054,119,100,0,100,1,61,162000,Killed
12055,119,100,0,100,1,57,162000,Killed
12056,119,100,0,100,1,61,162000,Killed
12057,119,100,0,100,2,59,162000,Killed
12058,119,100,0,100,1,62,162000,Killed
12059,119,100,0,100,1,63,162000,Killed
12060,119,100,0,100,1,61,162000,Killed
12061,119,100,0,100,2,62,162000,Killed
12062,119,100,0,100,1,60,162000,Killed
12063,119,100,0,100,1,60,162000,Killed
12064,119,100,0,100,1,60,162000,Killed
12065,119,100,0,100,8,188,162000,Killed
12066,119,100,0,100,1,61,162000,Killed
12067,119,100,0,100,1,62,162000,Killed
12068,119,100,0,100,2,64,162000,Killed
12069,119,100,0,100,1,62,162000,Killed
12070,119,100,0,100,1,62,162000,Killed
12071,119,100,0,100,1,62,162000,Killed
12072,119,100,0,100,1,63,162000,Killed
12073,119,100,0,100,2,61,162000,Killed
12074,119,100,0,100,1,67,162000,Killed
12075,119,100,0,100,1,62,162000,Killed
12076,119,100,0,100,1,65,162000,Killed
12077,119,100,0,100,1,66,162000,Killed
12078,119,100,0,100,2,73,162000,Killed
12079,119,100,0,100,1,67,162000,Killed
12080,119,100,0,100,1,57,162000,Killed
12081,119,100,0,100,1,65,162000,Killed
12082,119,100,0,100,2,64,162000,Killed
12083,119,100,0,100,1,59,162000,Killed
12084,119,100,0,100,1,61,162000,Killed
12085,119,100,0,100,1,59,162000,Killed
12086,119,100,0,100,2,279,162000,Killed
12087,119,100,0,100,1,78,162000,Killed
12088,119,100,0,100,1,74,162000,Killed
12089,119,100,0,100,1,77,162000,Killed
12090,119,100,0,100,1,74,162000,Killed
12091,119,100,0,100,1,75,162000,Killed
12092,119,100,0,100,2,76,162000,Killed
12093,119,100,0,100,1,80,162000,Killed
12094,119,100,0,100,1,72,162000,Killed
12095,119,100,0,100,1,76,162000,Killed
12096,119,100,0,100,1,74,162000,Killed
12097,119,100,0,100,2,75,162000,Killed
12098,119,100,0,100,1,80,162000,Killed
12099,119,100,0,100,1,77,162000,Killed
12100,119,100,0,100,1,75,162000,Killed
12101,119,100,0,100,2,76,162000,Killed
12102,119,100,0,100,1,70,162000,Killed
12103,119,100,0,100,1,74,162000,Killed
12104,119,100,0,100,1,69,162000,Killed
12105,119,100,0,100,1,81,162000,Killed
12106,119,100,0,100,2,74,162000,Killed
12107,105,1,0,1,3,97125,172200,Pass
12108,105,1,0,1,1,98077,172200,Pass
12109,105,1,0,1,1,98333,172200,Pass
12110,105,1,0,1,1,98136,172200,Pass
12111,105,1,0,1,1,97486,172200,Pass
12112,105,1,0,1,1,97909,172200,Pass
12113,105,1,0,1,1,98094,172200,Pass
12114,105,1,0,1,1,98200,172200,Pass
12115,105,1,0,1,1,97171,172200,Pass
12116,105,1,0,1,1,97238,172200,Pass
12117,104,0,32,1,7,8314,115200,Failed
12118,104,0,32,1,1,8323,115200,Failed
12119,104,0,32,1,1,7170,115200,Failed
12120,104,0,32,1,1,9473,115200,Pass
12121,104,0,32,1,1,9266,115200,Failed
12122,104,0,32,1,1,9694,115200,Pass
12123,104,0,32,1,1,9508,115200,Pass
12124,104,0,32,1,1,9186,115200,Pass
12125,63,0,2304,72,118,1806,86400,Pass
12126,63,0,3072,96,15,1757,86400,Pass
12127,63,0,3008,94,135,1938,86400,Pass
12128,85,0,256,16,29,151516,172800,Pass
12129,104,0,32,1,12,23798,57600,Pass
12130,63,0,3072,96,29,3218,86400,Pass
12131,101,4,0,4,121,633,5400,Pass
12132,104,0,32,1,126,45789,57600,Pass
12133,63,0,2944,92,135,1831,86400,Pass
12135,63,0,64,2,6,11652,86400,Pass
12134,63,0,2752,86,0,1879,86400,Pass
12136,63,0,128,4,3,50917,52499,Pass
12137,63,0,128,4,4,2089,86400,Pass
12138,63,0,192,6,4,1719,86400,Pass
12139,63,0,256,8,6,45924,45874,Killed
12140,63,0,256,8,5,5927,86400,Pass
12141,63,0,320,10,4,2425,86400,Pass
12142,63,0,64,2,4,134,86400,Pass
12143,63,0,64,2,4,132,86400,Pass
12144,63,0,64,2,5,133,86400,Pass
12145,63,0,128,4,4,21175,86400,Pass
12146,63,0,128,4,4,59604,60611,Pass
12147,63,0,64,2,4,133,86400,Pass
12148,63,0,64,2,5,133,86400,Pass
12149,63,0,64,2,4,21698,86400,Killed
12150,63,0,64,2,6,134,86400,Pass
12151,63,0,64,2,4,132,86400,Pass
12152,63,0,64,2,4,132,86400,Pass
12153,63,0,3008,94,4,2162,86400,Pass
12154,25,0,64,2,29,7675,86400,Pass
12155,104,0,32,1,1,5350,57600,Pass
12156,25,0,64,2,3,2085,86400,Pass
12157,104,0,32,1,2,3238,57600,Pass
12158,25,0,64,2,2,1723,86400,Pass
12159,25,0,64,2,5,3490,86400,Pass
12160,25,0,64,2,4,2976,86400,Pass
12161,25,0,64,2,4,3834,86400,Pass
12162,25,0,64,2,4,49396,49352,Killed
12163,21,0,64,4,103,84719,86400,Pass
12164,63,0,64,2,43,133,86400,Pass
12165,63,0,64,2,4,130,86400,Pass
12167,63,0,128,4,3,21704,86400,Killed
12166,63,0,2624,82,0,1617,86400,Pass
12168,63,0,64,2,4,143,86400,Pass
12169,63,0,192,6,0,44327,44266,Killed
12170,63,0,192,6,4,2809,86400,Pass
12171,63,0,2752,86,5,1799,86400,Pass
12172,63,0,64,2,0,141,86400,Pass
12173,63,0,128,4,4,33367,34552,Pass
12174,63,0,192,6,4,53272,54101,Pass
12175,63,0,256,8,5,1880,86400,Pass
12176,63,0,320,10,4,2231,86400,Pass
12177,63,0,384,12,4,2524,86400,Pass
12178,63,0,64,2,5,35157,36219,Pass
12179,63,0,64,2,4,71436,72010,Killed
12180,63,0,128,4,4,1684,86400,Pass
12181,63,0,128,4,4,67936,68940,Pass
12182,63,0,64,2,4,2437,86400,Pass
12183,63,0,64,2,4,43157,44311,Pass
12184,63,0,64,2,3,18389,86400,Pass
12185,63,0,64,2,5,21612,86400,Killed
12186,63,0,64,2,4,21609,86400,Killed
12187,63,0,64,2,4,21747,86400,Killed
12188,63,0,64,2,4,130,86400,Pass
12189,37,4,0,4,3,86484,86400,Killed
12190,37,4,0,4,12,86453,86400,Killed
12191,37,4,0,4,11,86547,86400,Killed
12192,37,4,0,4,13,17,86400,Killed
12193,37,4,0,4,14,15,86400,Killed
12194,37,4,0,4,10,14,86400,Killed
12195,37,4,0,4,20,86483,86400,Killed
12196,37,4,0,4,9,86452,86400,Killed
12197,37,4,0,4,12,86546,86400,Killed
12198,72,0,16,2,1,677,43200,Pass
12199,37,4,0,4,9,86535,86400,Killed
12200,37,4,0,4,17,86468,86400,Killed
12201,37,4,0,4,10,70689,86400,Pass
12202,37,4,0,4,0,70689,86400,Pass
12203,37,4,0,4,9,46,86400,Killed
12204,37,4,0,4,9,14,86400,Killed
12205,37,4,0,4,13,12,86400,Killed
12206,63,0,2624,82,28,1857,86400,Pass
12207,63,0,64,2,5,132,86400,Pass
12208,37,4,0,4,0,86483,86400,Killed
12209,101,4,0,4,12,629,5400,Pass
12210,37,4,0,4,1,86453,86400,Killed
12211,37,4,0,4,15,86546,86400,Killed
12212,79,0,32,1,110,44,1800,Pass
12213,79,2,0,2,45,20,600,Pass
12214,63,0,64,2,102,17132,86400,Pass
12215,63,0,64,2,4,132,86400,Pass
12216,63,0,64,2,4,131,86400,Pass
12217,63,0,64,2,5,142,86400,Pass
12218,63,0,64,2,4,21687,86400,Killed
12219,63,0,2432,76,24,1734,86400,Pass
