u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
2967,8,0,512,8,153,875.36,3600,Pass
2968,1,0,512,8,1046,39.47,3600,Killed
2969,15,0,64,1,325,228.39,3600,Pass
2970,1,0,512,8,464,37.1,3600,Killed
2971,1,0,512,8,1012,38.17,3600,Killed
2972,34,0,64,1,294,39.23,600,Pass
2973,1,0,512,8,229,38.23,3600,Killed
2974,1,0,32768,512,1374,12253.94,21600,Pass
2975,34,0,64,1,106,38.18,600,Pass
2976,34,0,64,1,172,36.95,600,Pass
2977,15,0,64,1,84,209.35,3600,Pass
2978,34,0,64,1,851,37.68,600,Pass
2979,1,0,512,8,516,3645.79,3600,Killed
2980,34,0,64,1,18,39.25,600,Pass
2981,34,0,64,1,140,43.17,600,Pass
2982,1,0,512,8,322,38.12,3600,Killed
2983,1,0,512,8,329,38.7,3600,Killed
2984,32,0,192,3,19,43.66,3600,Failed
2985,1,0,512,8,173,37.3,3600,Pass
2986,32,0,192,3,277,115.21,3600,Killed
2987,32,0,192,3,625,40.46,3600,Killed
2988,32,0,192,3,149,824.39,3600,Killed
2989,34,0,64,1,840,44.29,3600,Pass
2990,32,0,192,3,193,1890.69,3600,Pass
2991,1,0,16384,256,215,3635.62,3600,Killed
2992,1,0,16384,256,159,5085.33,10800,Pass
2993,1,0,51840,810,130,60027.38,86400,Pass
2994,34,0,64,1,71,37.32,600,Pass
2995,1,0,512,8,348,3640.77,3600,Killed
2996,1,0,8192,128,661,2707.83,3600,Killed
2997,1,0,8192,128,0,1180.43,3600,Killed
2998,1,0,8192,128,0,2420.15,3600,Killed
2999,1,0,8192,128,0,2555.25,3600,Killed
3000,1,0,8192,128,0,2652.35,3600,Killed
3001,1,0,8192,128,0,2572.91,3600,Killed
3002,1,0,8192,128,0,2630.98,3600,Killed
3003,1,0,8192,128,1,2336.38,3600,Killed
3004,1,0,8192,128,0,2619.35,3600,Killed
3005,1,0,8192,128,0,2611.61,3600,Killed
3006,1,0,8192,128,0,2650.66,3600,Killed
3007,1,0,8192,128,0,2725.9,3600,Killed
3008,1,0,8192,128,0,2688.21,3600,Killed
3009,1,0,8192,128,0,2612.46,3600,Killed
