u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
8850,29,8,1,1,20,882,0,Killed
8851,12,0,1,1,2,1,0,Pass
8852,12,0,1,1,4,1,0,Pass
8853,12,4,32,1,40,4309,0,Killed
8854,75,1,1,1,25,789,0,Pass
8855,29,8,1,1,4,384,0,Killed
8856,8,32,32,4,74,50032,0,Pass
8857,8,1,1,1,27,1085,0,Pass
8858,61,0,1,1,39,1,0,Pass
8859,61,0,1,1,301,1,0,Pass
8860,61,0,1,1,1,1,0,Pass
8861,29,8,1,1,255,47,0,Killed
8862,61,0,1,1,46,1,0,Pass
8863,29,8,1,1,88,274268,0,Killed
8864,75,1,1,1,91,106,0,Pass
8865,8,16,16,2,376,32,0,Pass
8866,8,16,16,2,51,37836,0,Killed
8867,61,0,1,1,295,1,0,Pass
8868,61,0,1,1,1,1,0,Pass
8869,75,1,1,1,442,5,0,Killed
8870,75,1,1,1,10,5,0,Failed
8871,75,1,1,1,25,8,0,Failed
8872,75,1,1,1,37,102,0,Pass
8873,12,8,32,1,2156,8664,0,Killed
8874,19,1,1,1,22346,2528,0,Pass
8890,21,1,1,1,431,2333,0,Pass
8889,21,1,1,1,0,2328,0,Pass
8888,21,1,1,1,0,2326,0,Pass
8887,21,1,1,1,0,2326,0,Pass
8886,21,1,1,1,0,2326,0,Pass
8885,21,1,1,1,0,2326,0,Pass
8883,21,1,1,1,0,2328,0,Pass
8884,21,1,1,1,0,2326,0,Pass
8881,21,1,1,1,0,2301,0,Pass
8880,21,1,1,1,0,2301,0,Pass
8879,21,1,1,1,0,2301,0,Pass
8878,21,1,1,1,0,2301,0,Pass
8877,21,1,1,1,0,2301,0,Pass
8876,21,1,1,1,0,2301,0,Pass
8875,21,1,1,1,0,2301,0,Pass
8882,21,1,1,1,0,2301,0,Pass
8906,21,1,1,1,59,2316,0,Pass
8905,21,1,1,1,0,2340,0,Pass
8904,21,1,1,1,0,2316,0,Pass
8902,21,1,1,1,0,2316,0,Pass
8901,21,1,1,1,0,2318,0,Pass
8900,21,1,1,1,0,2316,0,Pass
8899,21,1,1,1,0,2323,0,Pass
8903,21,1,1,1,0,2340,0,Pass
8897,21,1,1,1,0,2314,0,Pass
8896,21,1,1,1,0,2311,0,Pass
8895,21,1,1,1,0,2311,0,Pass
8894,21,1,1,1,0,2311,0,Pass
